// Localization Table
// Language: Simplified Chinese
[Info]
//12. ORIGINAL [#FF8080FF]: I've been told that military scientists ARE present within the zone.
545e2718-5057-4aa9-b0a4-0be9c094f0ee = 有消息称军方的科学家出现在了隔离区内.

//13. ORIGINAL [#FF8080FF]: We should hear concrete details tomorrow.
3b7637a2-7878-4419-a52f-e8df56611773 = 我们应该会在明天得到具体的消息.

//14. ORIGINAL [#FF8080FF]: If anything else comes out of the Exclusion Zone...
bbf9b9bf-dbe9-4359-8860-53dc9b18c98c = 如果有其他更多有关隔离区的消息...

//15. ORIGINAL [#FF8080FF]: ... you'll be the first to know.
bc3bc8ea-4b7a-44f9-97d5-a4299f057cd3 = ...我们会即刻为您报道.

//16. ORIGINAL [#FF8080FF]: Keep safe Kentucky.
8d12b1fd-4615-4bd2-a5e7-fa589aea8997 = 让我们祝愿肯塔基州.

//17. ORIGINAL [#FF8080FF]: This is Jackie Jaye.
c36ece67-0ae1-4001-a7fa-c80c0e0c48f7 = 这里是杰基·杰伊.

//18. ORIGINAL [#FF8080FF]: I'm here at the checkpoints to the north of the Knox exclusion zone.
322dc178-82ef-493b-8f7a-894df3ed852e = 我现在位于诺克斯隔离区北面的检查点.

//19. ORIGINAL [#FF8080FF]: I'm here with Denise, who has a story to tell.
d4c855e9-12c7-4a89-ada8-c225ba4e360c = 有请丹尼斯,他有一些故事想要和我们分享.

//20. ORIGINAL [#FF8080FF]: Denise, you were one of the last out of the Zone. Am I right?
8a921753-4eaa-45c6-9fc7-c85d147c8a8b = 丹尼斯,你是最近才从隔离区内出来的,对吗？

//21. ORIGINAL [#FFFFC000]: I was. My Mom's still in there.
c9e0f0ce-1e45-4e54-b3a3-87bc4a23f7bc = 对,我的母亲还在里面.

//22. ORIGINAL [#FF8080FF]: Have you heard from her?
01629d24-aed0-4e1e-99ff-a25aa27052fe = 你有任何有关她的消息吗？

//23. ORIGINAL [#FFFFC000]: Nothin'. Phones are out.
f7c026e2-b18c-4d7f-8277-050f3d20bf68 = 没有,电话都没用了.

//24. ORIGINAL [#FFFFC000]: These guys... all standing in-between us.
96d80efe-f798-4901-9ebc-25080578ded4 = 那些家伙...那些站在我们和隔离区之间的人.

//25. ORIGINAL [#FF8080FF]: The Army, yes. And how did you get out?
70f388ca-efa9-440b-931e-9d0b56c02f46 = 军队,是的.对了,你是怎么逃出来的？

//26. ORIGINAL [#FFFFC000]: Well we heard the helicopters all night through.
a99c5149-bde4-4a60-a3b9-abfa97684589 = 我们整晚都能听到直升机的声音.

//27. ORIGINAL [#FFFFC000]: Mom was ill. High temperature, real sleepy.
805e9ad5-298d-416f-a04f-0f2c15b9f704 = 我妈妈生病了.她发了高烧,而且很疲倦.

//28. ORIGINAL [#FFFFC000]: Nothing serious I thought.
1c17c50e-d69d-48ef-9cf9-8b32e3b5bb27 = 但是我想并没有那么严重.

//29. ORIGINAL [#FFFFC000]: I was going to work at Gas to Go early, like every morning.
d28d6492-236f-430a-9084-3028332a4bec = 我当时正在去加油站上班的路上,每天如此.

//30. ORIGINAL [#FFFFC000]: I saw these guys in plastic suits.
b301d0b1-fa87-4899-933a-230a40634cfb = 我就看到了那些穿着塑料制服的人.

//31. ORIGINAL [#FFFFC000]: Y'know... bright yellow?
746d8625-b390-45df-bbdc-9eba105bf8d6 = 你知道的,那些亮黄色的衣服.

//32. ORIGINAL [#FF8080FF]: Hazard suits Denise?
aa04c625-a5b1-4de8-ae8f-3df03e606408 = 是生化防护服吗,丹尼斯？

//33. ORIGINAL [#FFFFC000]: I guess. Anyway I saw them down the road.
f9f387f4-51ce-4dde-a597-56023c2becfe = 我猜是的.总之我在路上看到他们.

//34. ORIGINAL [#FFFFC000]: Thought it was weird, but everything's weird at 4AM right?
1cc3e820-fa5f-4eb3-b252-16bc40cef828 = 现在想想还真是奇怪,不过在凌晨4点所有东西都很奇怪对吧？

//35. ORIGINAL [#FFFFC000]: Then I drive through, get taken aside...
7574ce0b-17a4-48f7-8ace-0c47cb38a5fb = 接着我被要求停在路边,被拉下了车.

//36. ORIGINAL [#FFFFC000]: They shine a light into my eyes. Take a blood sample...
746c1d08-d204-4fc1-89d4-e23a9d4ec162 = 他们拿着手电筒检查我的眼睛,还取了我的血样...

//37. ORIGINAL [#FFFFC000]: Keep me locked tight until like... ten minutes ago?
a9435e87-3d5e-4a25-ba96-5487b28a0aa8 = 他们一直铐着我直到...大概十分钟之前？

//38. ORIGINAL [#FFFFC000]: Then they say I'm clear and kick me out.
94e20d7e-a073-4d4a-8cc3-54d7ab0d9c7a = 接着他们说我没事然后就让我滚了出来.

//39. ORIGINAL [#FFFFC000]: Then I meet you.
5c013232-603a-4f38-a774-795eff8c4989 = 然后我就碰到了你.

//40. ORIGINAL [#FFFFC000]: What's going on Jackie?
1b1dccf0-f0ab-45f6-9ce5-c910b9a97261 = 怎么了杰基？

//41. ORIGINAL [#FF8080FF]: We don't know just yet Denise.
3abff103-77ff-4e58-8dac-07f41bd64d5c = 我们还不清楚丹尼斯.

//42. ORIGINAL [#FF8080FF]: From what I've been told your Mom will be fine.
dad1efe1-ba60-417e-8e3d-88286945417d = 从我得知你的母亲会没事开始.

//43. ORIGINAL [#FFFFC000]: You know that?
5ef17536-1286-450b-be93-80b41ad7cf6a = 你怎么知道？

//44. ORIGINAL [#FF8080FF]: I don't know that, I've been told that.
10c8fbff-20bc-4d89-870e-51fed2c5c6f9 = 我不知道,有人告诉了我这条消息.

//45. ORIGINAL [#FF8080FF]: Keep close Denise, you'll know what I know.
e851af03-01cc-4aa9-aa1c-5ac0da3666ce = 靠近点丹尼斯,我会把我知道的告诉你.

//46. ORIGINAL [#FF8080FF]: Just like the guys listening will.
2883b958-e65b-4f5f-9747-bb4493868805 = 听好了...

//47. ORIGINAL [#FF00B050]: This is Frank Hemingway, taking over coverage of the Knox Event from Jackie.
7a40f145-4598-4396-baa5-3f789a8ac573 = 这里是弗兰克·海明威,我将代替杰基继续报道诺克斯事件.

//48. ORIGINAL [#FF00B050]: It's the end of the second day of the Knox exclusion.
6eea019c-bfef-4e37-84b2-74e7cc0835af = 隔离区的报道就到这里,今天是开始隔离的第二天.

//49. ORIGINAL [#FF00B050]: Still no word on the contagion.
22ef3586-729e-44c2-997d-cd70e8de2c7b = 依然没有任何有关传染病的消息.

//50. ORIGINAL [#FF00B050]: So what do we know?
5ef69ba0-97a5-4fbc-bc57-205a2c879928 = 我们目前有什么消息吗？

//51. ORIGINAL [#FF00B050]: Influenza symptoms brought the towns of West Point and Muldraugh to a standstill.
0c9696d0-cc02-415d-a8d3-918b554cdf1e = 起初这种传染的病症导致西点和马尔德劳陷入停滞.

//52. ORIGINAL [#FF00B050]: Then overnight... the blockades appeared.
cdba3a7e-6b15-411a-bf24-b0bca7162e39 = 然后一夜之间... 军队的隔离路障就出现了.

//53. ORIGINAL [#FF00B050]: Military sources suggest the area is watertight...
adf90c6c-49cb-4517-baf1-57be6bddbb24 = 军队消息表明该地区被封锁的密不透风...

//54. ORIGINAL [#FF00B050]: ... there's even boats patrolling the Ohio river.
2e7834ec-4eff-4b71-9aad-3b8acf2539c6 = ...甚至有船在俄亥俄河上巡逻.

//55. ORIGINAL [#FF00B050]: If the checkpoints aren't gone tomorrow, however... the boundary will be tested.
bc3eaf5d-8160-4288-9216-e406904cfc85 = 如果这些检查站在明天没有撤离,任何通过边界的人将会被检测.

//56. ORIGINAL [#FF00B050]: We've got concerned locals, evacuated families and, yup...
322406e4-cc71-4dbf-afa9-ee02937e4f85 = 我们非常担心当地人和被疏散家庭的安全...

//57. ORIGINAL [#FF00B050]: ... more news teams turning up every hour.
ce3a28c6-1928-4e80-9de1-5779090b8bae = ...每时每刻都会有新的新闻团队出现.

//58. ORIGINAL [#FF00B050]: Everyone wants to get in just as, we assume, the residents want to get out.
eac76b0f-d596-411b-a84b-735f59d1dc65 = 这里的所有人都想要进去,就像我们猜测的一样,里面的居民也想出来.

//59. ORIGINAL [#FF00B050]: We're promised answers tomorrow from one... General John McGrew.
60f0cb9b-e7ab-4846-8db8-816c1c37b3ad = 我们承诺明天会给所有人一个答案... 约翰·麦格鲁上将.

//60. ORIGINAL [#FF00B050]: We can't wait to hear them General.
60e10242-c8b8-41d1-8661-f55ac6ced7b7 = 我们迫不及待地像听到上将地答案.

//61. ORIGINAL [#FF00B050]: Better make them good...
7d4ead1e-c9df-44de-9cde-869c2192d9a1 = 最好能给我们一个解释...

//62. ORIGINAL [#FF00B050]: Frank Hemingway. LBMW.
61e52aca-8694-4377-bbb0-8b17d942a286 = 弗兰克·海明威,LBMW电台.

//63. ORIGINAL [#FF00B050]: Good morning.
183845c0-eff9-4052-9b65-ea7250dbd317 = 早上好.

//64. ORIGINAL [#FF00B050]: You're listening to LBMW.
1db7f986-685d-41b6-86e7-e45ae64deda0 = 您正在收听LBMW电台.

//65. ORIGINAL [#FF00B050]: It's day three of the Knox evacuation.
7627222d-39a5-42bc-9d4d-f3a32a538f27 = 今天是诺克斯撤离行动的第三天.

//66. ORIGINAL [#FF00B050]: Still NO official statement on the contagion that has gripped Kentucky.
aacb2fcf-5b5f-4c4c-a2a3-468098fc3889 = 目前依旧没有有关发生在肯塔基州的传染病的官方声明.

//67. ORIGINAL [#FF00B050]: The Exclusion Zone remains in place.
bcc6a6ab-db3b-4ac3-9f56-1b59c8e0a8e7 = 隔离区并没有消失.

//68. ORIGINAL [#FF00B050]: Military personnel from local bases have a HUGE area closed off.
ef737db4-8961-48a4-8471-91210473948b = 来自本地军事基地的军队已经封锁了很大的一块区域.

//69. ORIGINAL [#FF00B050]: Their primary deployment: south of Louisville.
b1ca550d-6c90-4d1d-a146-6d93600a36ee = 目前军队的首要驻地：路易斯维尔的南部

//70. ORIGINAL [#FF00B050]: The Exclusion Zone stretches out below the curve of the Ohio river...
d0979fcd-7a3c-4b39-b741-717dfd3fcb1f = 隔离区延伸到俄亥俄河的曲线下方...

//71. ORIGINAL [#FF00B050]: ...and contains the small towns of Muldraugh and West Point.
f11b8d7a-0948-4a12-91f8-637fa2591f67 = ...并且包括马尔德劳和西点这两座小镇.

//72. ORIGINAL [#FF00B050]: We have been told: there will be answers.
b4a7511e-cc21-4e8c-84c3-0216d8406563 = 我们被告知：官方将会给我们一个答案

//73. ORIGINAL [#FF00B050]: LBMW understands a press conference will be held this afternoon...
d9819e94-9a02-47c8-b9ff-5fc9a97caaac = LBMW电台了解到今天下午会举行一场新闻发布会...

//74. ORIGINAL [#FF00B050]: ... on the brewing chaos of the last four days.
f5b06095-59b5-4694-b64c-fa9323f79fe9 = ...有关这四天以来的骚乱.

//75. ORIGINAL [#FF00B050]: Will the communications black-out be explained?
8a916bfb-ecb3-4455-86ba-c2349532b977 = 官方会回答有关通讯被屏蔽的事情吗？

//76. ORIGINAL [#FF00B050]: Until then, the only advice for those nearby remains: stay indoors.
efeec9a4-18d7-4d63-812c-14ab32f92852 = 而在那之前,唯一的建议仍然是：呆在室内.

//77. ORIGINAL [#FF00B050]: This is Frank Hemingway for LBMW.
8853edf-bec5-4518-b00f-d24947e69558 = 这里是来自LBMW电台的记者弗兰克·海明威.

//78. ORIGINAL [#FF8080FF]: We're reporting direct from where General John McGrew made the following statement:
74232cf7-3f67-435a-9d4d-a6b2923e57cb = 我们从约翰·麦格鲁上将得知以下声明：

//79. ORIGINAL [Red]: I am making this statement at 11AM on the 14th July 1993.
4bdc1169-e93e-4b88-8f3f-1a8364f5f6e4 = 我现在在1993年7月14日上午11点发表此声明.

//80. ORIGINAL [Red]: There are many rumors circulating. Many falsehoods.
fd6f2b07-e21f-4737-ba4a-7f996c97d870 = 最近流言四起,大多是都是谎言.

//81. ORIGINAL [Red]: This is an appeal for calm.
c17a655c-d76f-4581-a596-6a80fb8e3f57 = 这份声明的目的是让大家保持冷静.

//82. ORIGINAL [Red]: I can confirm there has been an outbreak.
1c243439-9b15-430c-8efd-9920b5bedcec = 我能很明确地告诉大家现在有一场疫情爆发了.

//83. ORIGINAL [Red]: The ailment is, as yet, unidentified.
0369120f-3e27-4a17-83c3-ffa1dcf7f0bc = 到目前为止,该疾病尚未确定.

//84. ORIGINAL [Red]: It is flu-like. It leads to panic. It leads to confusion.
2f50f63e-591d-41a6-88e3-a7730332e293 = 这是一种像流感的疾病,它导致恐慌,导致混乱.

//85. ORIGINAL [Red]: There is NO evidence of fatalities within the Exclusion Zone.
c2cf7762-974c-4ce4-ab21-831d40685ad7 = 没有任何证据证明隔离区内有人员死亡.

//86. ORIGINAL [Red]: We are using judged and judicious force to maintain the border.
3bee4c83-1da1-4544-8d98-4a2d06b8fc1d = 我们在用合法,公正的手段保持边界的安全.

//87. ORIGINAL [Red]: Warning shots have been fired.
9e8487b8-0210-4e14-b45a-f15e002d6ac6 = 有鸣枪警示的情况发生.

//88. ORIGINAL [Red]: No civilians have been harmed.
b8716145-e275-4313-b6a4-31ef671eff41 = 没有任何平民被伤害.

//89. ORIGINAL [Red]: We must ensure that this infection is not allowed to spread.
704b54b4-0256-44de-b1c0-6157477385a7 = 我们必须确保感染不会扩大.

//90. ORIGINAL [Red]: I am in hourly contact with the President on this matter.
d33dd51e-1ddb-4279-b4c3-0a80d221bc36 = 我每个小时都会和总统联系.

//91. ORIGINAL [Red]: The no-fly zone will remain in place for the foreseeable future.
e90435c2-217e-4da7-8c14-8d8e93649175 = 在可预见的未来,禁飞区仍然有效.

//92. ORIGINAL [Red]: At this time, we will take no questions.
6efe26f3-26d0-4416-82a4-9b63cde2751e = 现在,我们不会回答任何问题.

//93. ORIGINAL [#FF8080FF]: You're listening to LBMW. I'm Jackie Jaye.
1ba73651-afea-4d94-a767-df17d53137e5 = 您正在收听LBMW电台.我是杰基·杰伊.

//94. ORIGINAL [#FF8080FF]: The exclusion zone to the south of Louisville remains in place today.
a0bad126-44f2-42d9-9a26-7658eca0d15d = 延伸至路易斯维尔南部的隔离区依旧存在.

//95. ORIGINAL [#FF8080FF]: No vehicles, no phone calls, no cameras...
365250fc-f9af-4718-aaa0-93d2d3100d46 = 没有其他车辆,没有电话铃声,没有摄像机...

//96. ORIGINAL [#FF8080FF]: ... just the rapid deployment of military personnel and vehicles.
10949f25-f712-40fd-9aa8-aaf0d36af793 = ...只有快速部署的军事车辆和人员.

//97. ORIGINAL [#FF8080FF]: LBMW is in a temporary camp on the exclusion border.
80064149-7198-47da-9c44-8f52170964f4 = LBMW电台暂时在隔离区的边界附近扎营.

//98. ORIGINAL [#FF8080FF]: Panic throughout the nation is endemic.
3d2b4949-ec8f-4143-bbcb-9a846241e422 = 恐慌的情绪正在全国蔓延.

//99. ORIGINAL [#FF8080FF]: What next for Kentucky in this sad story?
52faf12e-7f7e-40d5-b43b-56c86326e23d = 在这场悲剧中还会发生什么？

//100. ORIGINAL [#FF00B050]: Good evening. This is LBMW.
f32fb478-2f75-4556-8f66-9efd9d48882c = 晚上好.这里是LBMW电台.

//101. ORIGINAL [#FF00B050]: I'm Frank Hemingway.
8438d923-3d21-44b2-a549-8674ba714bad = 我是弗兰克·海明威.

//102. ORIGINAL [#FF00B050]: After repeated demands General John McGrew today explained the Exclusion Zone.
7ddd7e1c-ea6c-4acd-b89f-658cd03bed33 = 经多方要求,今天约翰·麦格鲁上将将会解答有关隔离区的问题.

//103. ORIGINAL [#FF00B050]: But are his answers enough for Kentucky?
62aeb4bc-751d-4c51-9eec-c499f6d1a516 = 他能代表肯塔基州发言吗？

//104. ORIGINAL [#FF00B050]: General McGrew went on to state that the no-fly zone...
e65c7b4c-ca43-497c-ac59-de3b60709153 = 麦格鲁上将声明禁飞区...

//105. ORIGINAL [#FF00B050]: ... would remain in place for the immediate future.
e5f7e871-4852-44fe-ab6f-5bf31e04e197 = ...将会保持一段时间.

//106. ORIGINAL [#FF00B050]: His comments have done little to allay public fear.
0a5df8d9-474e-4606-bf90-a2e540ccae7a = 他的声明并没有减轻公众们的恐惧.

//107. ORIGINAL [#FF00B050]: Why are we in the dark?
bbaace95-51a6-4313-8c5b-0ce49bc89c44 = 为何我们的通讯被屏蔽了？

//108. ORIGINAL [#FF00B050]: Why can't they talk to us?
ab375233-3434-4f3b-8eba-b21f3bb407eb = 为什么他们不能与我们通讯？

//109. ORIGINAL [#FF00B050]: And why won't they let US talk to them?
f768c8b8-6cca-4f70-951c-64379cbbc85e = 还有为何我们又不能与隔离区内的人们通讯？

//110. ORIGINAL [#FF00B050]: Ah, wait we've just got this in.
e3f0c2a9-68de-418b-8f74-2e6fb98afa68 = 啊,等等,我们刚刚收到这个.

//111. ORIGINAL [#FF00B050]: It's a statement from the President distributed to all media.
028bee7b-0c38-4163-bd05-424cd8d359ae = 这是总统向所有媒体发布的声明.

//112. ORIGINAL [#FF00B0F0]: This is a distressing time.
0cd23870-84c8-4f30-91d4-8c638a47f749 = 这是一个令人痛苦的时刻.

//113. ORIGINAL [#FF00B0F0]: The situation in Kentucky is unexpected and saddening.
6a190fbb-a46d-45a4-a328-9b67e8500de5 = 在肯塔基州发生的事是意料之外并且令人悲痛的.

//114. ORIGINAL [#FF00B0F0]: My first thoughts are with the friends and families of those within the Zone.
d9bcf7be-e506-4038-a654-5246a1cdc16e = 我立刻想到的是在隔离区内的人们.

//115. ORIGINAL [#FF00B0F0]: People have been separated, folk have been evacuated...
176513c1-e0a8-42fd-9bff-8d33be7171ea = 那些流离失所,妻离子散的人

//116. ORIGINAL [#FF00B0F0]: I understand the difficulties facing us.
993195cb-db61-435d-a399-913398370663 = 我理解我们面对的困难.

//117. ORIGINAL [#FF00B0F0]: However, I have faith in the fine people of the Center for Disease Control...
8346f6a4-8969-466e-b323-b87f51186a8f = 然而,我对疾控中心抱有信心...

//118. ORIGINAL [#FF00B0F0]: ... to get to the root of the panic and confusion within the Exclusion Zone.
1d26d7ef-86ab-41ae-8bdd-93a0cce7d3bb = ...他们会把对隔离区的恐慌和困惑连根拔起.

//119. ORIGINAL [#FF00B0F0]: I have faith in our Servicemen and Women to fulfill their duties...
a9836953-29e7-4ccc-9493-6beb1a89226f = 我对我们的军人充满信心...

//120. ORIGINAL [#FF00B0F0]: ... and for General John McGrew to command them with the foresight and dedication...
7c052518-0a91-40bf-87fa-ad2e82671a2f = ...并让约翰·麦格鲁上将以远见卓识和奉献精神指挥他们...

//121. ORIGINAL [#FF00B0F0]: ... he has shown throughout his exemplary career.
aa6859bf-57f4-49ef-934b-b4d4ea0dddd8 = ...他以自己出彩的职业生涯证明了自己.

//122. ORIGINAL [#FF00B0F0]: It is a distressing time America, but you are in safe hands.
d1ef5151-4158-4f2e-8c21-34f0385fd72f = 这是一个让所有美国人痛苦的时刻,但是你们是安全的.

//123. ORIGINAL [#FF00B0F0]: Thank you.
08c7b2c9-21f2-4f6b-8eea-849e13b23e0d = 谢谢.

//124. ORIGINAL [#FF00B050]: Saying it like I see it.
0c939dc4-2286-4649-9aa1-7acb1c895691 = 实话实说.

//125. ORIGINAL [#FF00B050]: This is Frank Hemingway, LBMW.
c3e67440-db99-4740-ae8f-0bf217a0ff25 = 这里是弗兰克·海明威,LBMW电台.

//126. ORIGINAL [#FF00B050]: I'm in the media camp on the Knox Exclusion Zone boundary.
5612a73c-bf82-466f-859b-b8096433d1fb = 我现在位于诺克斯隔离区外的媒体营地.

//127. ORIGINAL [#FF00B050]: Last night, the President gave full support to agencies fighting the Knox Event.
3add099a-199c-42e6-b2ff-eb56f5f1f888 = 就在昨晚,总统对所有奋斗在诺克斯事件中的所有机构表示了支持.

//128. ORIGINAL [#FF00B050]: Now back to the Exclusion Zone Boundary, where I am this morning.
8ecf0af1-3f13-4ed8-8421-5735c1a1ebaa = 现在让我们回到我所在的隔离区边界.

//129. ORIGINAL [#FF00B050]: In my hand? An exclusive statement from General John McGrew.
c517943d-c1ee-465e-99f4-0355df13c4ee = 现在在我手里的这份是约翰·麦格鲁上将的独家声明.

//130. ORIGINAL [#FF00B050]: Here he apologises for...
8a582fad-8c48-4c2d-bd52-a815bd2168df = 这里他表示抱歉...

//131. ORIGINAL [#FF00B050]: a 'lack of clarity'...
70458f2f-5ad3-456f-86b9-9023f484ef00 = ’缺乏清晰度‘...

//132. ORIGINAL [#FF00B050]: ... in what many are calling 'The Knox Event'.
b8ac3d7b-b052-42b9-affc-05a0af63b4a9 = ...许多人称之为“诺克斯事件”.

//133. ORIGINAL [#FF00B050]: In the EXCLUSIVE statement to LBMW he again confirmed...
8e84cfae-8a31-4cf3-817b-782501f23552 = 在对LBMW电台的独家声明中,他再次确认...

//134. ORIGINAL [#FF00B050]: ... that the outbreak is contained...
d71743e0-1cca-41e7-81ac-982d15e88313 = ...爆发已经受到控制...

//135. ORIGINAL [#FF00B050]: ...and that he is unaware of fatalities within the exclusion zone.
f76932ab-dff7-44c9-ab0e-a516f1c92c22 = ...而且他没有意识到隔离区内的死亡人数.

//136. ORIGINAL [#FF00B050]: When I asked whether the military sensitivity of the region...
645bdef2-eca1-45d5-b1a8-6c8928ddd30f = 当我提到这片地区的军事敏感度时...

//137. ORIGINAL [#FF00B050]: ... had an impact on the way the Event is being handled...
88339464-23cc-4c18-a235-7b82c65f817a = ...对这次事件的处理方式产生了影响...

//138. ORIGINAL [#FF00B050]: ... I was met only with silence.
31f0b476-d6eb-4cec-b9ea-727be8a3ecf1 = ...我收到的答复只有沉默.

//139. ORIGINAL [#FF00B050]: Saying it, like I see it.
44946032-de60-44b2-856a-7a6cff85049a = 我实话实说.

//140. ORIGINAL [#FF8080FF]: Hi. Jackie Jaye for LBMW.
7ea33495-fa23-4d5b-b491-a3abb912c4f7 = 大家好,我是LBMW电台的记者杰基·杰伊.

//141. ORIGINAL [#FF8080FF]: What caused the Event? Rumor is rife.
53500e0d-7653-48af-86a5-2c6defb8ba90 = 这场事件的起因是什么？众说纷纭.

//142. ORIGINAL [#FF8080FF]: A strange cloud hangs over Kentucky.
7d626e8d-ed2c-4032-a58a-91c87bfb9f70 = 肯塔基州上空盘旋着一朵奇怪的云.

//143. ORIGINAL [#FF8080FF]: I'm in one of the camps that has grown on the Event border.
e01d06ee-41bd-4325-a5ef-4db18d9a6948 = 我现在在一个隔离区外的营地.

//144. ORIGINAL [#FF8080FF]: Displaced families, people with families inside the Event...
d701449c-961e-476c-8954-e75cb8d088de = 事件中流离失所的人,有家庭的人...

//145. ORIGINAL [#FF8080FF]: They're all here. And, guess what? They're angry.
e8ac73dc-5abe-48f4-83f2-b80cab072aba = 他们都在这.而且,他们很愤怒.

//146. ORIGINAL [#FFFFC000]: They say we shouldn't be worried...
e5f66148-1765-43de-aaa3-5cf065f9ef3f = 他们说我们不用太担心...

//147. ORIGINAL [#FFFFC000]: ... but they won't even say what in HELL this is?
130686fa-3616-4ac9-a59b-95b6a9163ef1 = ...但是他们甚至不肯说这是什么鬼东西？

//148. ORIGINAL [#FFFFC000]: He says there are no casualties?
eaada990-55c8-4981-b487-9291cb811441 = 他说没有人员伤亡？

//149. ORIGINAL [#FFFFC000]: There's a lot of bad stuff leading up to a casualty, right?
fdb946ae-796b-4958-b0e9-8b2df833bbf1 = 有许多坏事导致了人员伤亡,对吧？

//150. ORIGINAL [#FFFFC000]: What happened to my wife, General?
937592a6-28aa-44ef-ac11-d142756ae9e5 = 我的生活怎么了,上将？

//151. ORIGINAL [#FFFFC000]: Why can't we speak?
847e00ce-5d89-4017-b74d-716df0d87014 = 为什么我们不能说？

//152. ORIGINAL [#FF8080FF]: Do you know what caused this sir?
a3f4c5c2-6c1e-4403-9311-a252f6d02a94 = 先生,请问你知道事情的起因吗？

//153. ORIGINAL [#FFFFC000]: Hell if I know.
d6798136-09ca-4be5-aa8f-99c5a7f03d1a = 我要是知道真见了鬼了.

//154. ORIGINAL [#FFFFC000]: Some are saying it was the smell.
3228c791-6225-4627-a0ed-445af98c7320 = 有人说是因为那味道.

//155. ORIGINAL [#FFFFC000]: Awful bad smell here, for weeks.
2040166c-f3d9-46b7-8aae-bfe02d26c5bb = 那恶心又难闻的味道持续了一周了.

//156. ORIGINAL [#FF8080FF]: And what do you think has happened to your Mommy, sweetheart?
561fa02f-6f48-4696-9fdd-0cea023a293d = 你觉得你妈妈现在怎么样了,宝贝？

//157. ORIGINAL [Fuchsia]: I don't know.
8f8ef946-f810-428b-99e9-114f835390f4 = 我不知道.

//158. ORIGINAL [#FFFFC000]: Neither do I honey.
9b01718c-0977-44fe-97e4-9894f99ddaab = 我也不知道,甜心.

//159. ORIGINAL [#FFFFC000]: It'll be okay.
a9f753f2-d8b1-4006-a8ca-65fa615ff72d = 一切都会没事的.

//160. ORIGINAL [#FF8080FF]: This is Jackie Jaye. Keep safe guys.
c0e919be-c180-4e09-877f-4c97eb7a0fe4 = 这里是杰基·杰伊,注意安全伙计们.

//161. ORIGINAL [#FF8080FF]: This is Jackie Jaye, here today with Professor John Ramirez - a military scientist
c0a828d5-691f-47f9-9e03-2e6fa475e31a = 这里是杰基·杰伊,今天我们有幸请到了约翰·拉米雷斯教授,他是军方的科学家.

